Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
25249,C,PN96_RS13650,2,0.15326516262493964,0.013187712126211407
25249,C,PN96_RS11715,2,0.15326516262493964,0.013187712126211407
25249,D,PN96_RS11715,2,0.41829961538786636,0.012630567569262724
25249,D,PN96_RS11720,2,0.41829961538786636,0.012630567569262724
28442,B,PN96_RS12625,1,0.5625153586327281,0.12423721890034455
19381,A,PN96_RS08465,2,0.7552824074042104,2.263102251002598
41888,B,PN96_RS17995,4,1.933262253772552,0.2843637161746116
41888,A,PN96_RS03555,4,0.6288447748989225,1.9131847943075975
33799,A,PN96_RS07900,2,2.0889318956608096,0.18256378449366312
10532,B,PN96_RS03955,2,1.1466261405283018,0.14925437101947278
10532,B,PN96_RS03950,2,1.1466261405283018,0.14925437101947278
10532,A,PN96_RS22760,2,1.324203697627072,0.5970263459746912
10532,A,PN96_RS03950,2,1.324203697627072,0.5970263459746912
23032,A,PN96_RS02465,2,0.07749376560609944,0.030386674818623196
41868,B,PN96_RS03565,2,0.04273476246828218,0.2692903125404084
12973,A,PN96_RS09515,1,0.13458208768208751,1.3915442071825914
27551,A,PN96_RS02320,2,0.014209902613406808,0.41885544968975763
18437,A,PN96_RS09865,2,0.756888183665089,0.5236209870403146
24809,A,PN96_RS13640,2,0.8463378773209264,1.0432402086484927
28030,A,PN96_RS04115,2,0.1984590339060563,8.024836235908746
28030,A,PN96_RS04120,2,0.1984590339060563,8.024836235908746
18681,A,PN96_RS00555,1,0.13034230127398166,0.7336688808590924
24793,A,PN96_RS07885,1,0.48316867326968344,0.28849358180430446
24793,A,PN96_RS07875,1,0.48316867326968344,0.28849358180430446
41912,B,PN96_RS20950,1,3.6180982655748655,1.2415261413147156
41912,A,PN96_RS07515,1,0.30531630441641344,0.2141312625480616
22824,A,PN96_RS16680,1,3.4218399470767786,14.418921286467704
13985,A,PN96_RS11200,1,0.08961304725695594,0.2960896132416882
10116,A,PN96_RS05370,2,1.093282745773868,0.26271472732161594
11364,A,PN96_RS17695,2,0.9116149731036863,0.2933609188369792
20445,A,PN96_RS04245,2,28.837332143952647,18.912614874734526
11708,A,PN96_RS10575,4,0.2094644937730372,0.04953135803993501
22828,A,PN96_RS07870,1,0.907614910660816,0.6394412780701304
27786,B,PN96_RS01375,1,0.03860642434969234,0.05571686109376298
27786,B,PN96_RS09395,2,0.03860642434969234,0.05571686109376298
27786,B,PN96_RS09390,2,0.03860642434969234,0.05571686109376298
27786,A,PN96_RS22095,1,0.9005524195628436,0.27477327223562176
27786,A,PN96_RS09395,2,0.9005524195628436,0.27477327223562176
27786,A,PN96_RS09390,2,0.9005524195628436,0.27477327223562176
41836,B,PN96_RS03565,2,0.11392483546028406,0.0946682166697605
16293,A,PN96_RS11765,1,0.29169400433957454,0.22986202913499906
16293,A,PN96_RS11770,1,0.29169400433957454,0.22986202913499906
14829,A,PN96_RS08935,2,2.7814496762349217,0.17072786935207707
14829,A,PN96_RS09630,2,2.7814496762349217,0.17072786935207707
27822,A,PN96_RS10515,1,1.7336960001098463,0.05886303837078342
23372,A,PN96_RS11350,1,0.15678353183411278,0.4726692689301208
23920,A,PN96_RS07950,4,0.08599597377494736,0.3726337366349762
20249,B,PN96_RS23260,1,0.15646249417179797,0.657469679278905
15609,A,PN96_RS09870,6,0.83676192642168,0.10713529865146229
13493,A,PN96_RS13345,4,0.5684570483710257,0.062435816313449286
41908,B,PN96_RS05720,2,0.520175309359437,0.3931294933467755
41908,A,PN96_RS02355,1,0.1381841774433007,6.7669212395348115
24813,A,PN96_RS21300,6,0.6941813438042796,3.140341902287614
41848,B,PN96_RS20950,1,0.09938001213621982,0.237863837534816
41848,A,PN96_RS07515,1,2.227664450628996,0.6608648504442313
22812,A,PN96_RS09240,2,0.36888935422381813,0.7766246839625423
41904,B,PN96_RS17995,4,1.1005965053815945,1.1450025271998807
41904,A,PN96_RS03555,4,3.145739430188518,6.929058164731393
41880,B,PN96_RS20950,1,0.34398835664825855,0.3028873223058722
41880,A,PN96_RS07515,1,0.15172333581685166,0.4362742592321566
27694,A,PN96_RS13640,2,1.177375090883704,0.8041853094356386
13677,A,PN96_RS15085,1,3.084626665557287,1.9715994327899355
24560,A,PN96_RS14615,6,0.5072730992635014,0.0784980721871821
18321,A,PN96_RS21300,6,6.846826972033019,0.42815184279097135
14053,A,PN96_RS09830,3,0.17537551707330123,0.05394242539208351
15941,A,PN96_RS15000,2,0.2682490869605703,1.1711425097249692
10748,A,PN96_RS01390,2,1.002455876670231,1.6224966671945846
27654,B,PN96_RS11715,2,0.18174442982367542,0.5094338264906487
27654,B,PN96_RS11720,2,0.18174442982367542,0.5094338264906487
27654,A,PN96_RS13650,2,0.39173784819374324,0.3445797593839659
27654,A,PN96_RS11715,2,0.39173784819374324,0.3445797593839659
27654,C,PN96_RS13645,2,0.6876475626481964,0.2825676887509843
27654,C,PN96_RS13650,2,0.6876475626481964,0.2825676887509843
27654,D,PN96_RS13645,2,0.8442184072589599,0.184501427984881
27654,D,PN96_RS11720,2,0.8442184072589599,0.184501427984881
17053,A,PN96_RS18415,1,0.7722320313258102,0.10843448354303611
12120,B,PN96_RS21135,4,2.112500773005835,0.16665503466377776
12120,A,PN96_RS08410,4,0.10238493407572637,0.08108518823937737
17453,A,PN96_RS00175,1,0.34462174578087146,0.14391289571295648
11600,A,PN96_RS03665,1,0.3045726898837321,0.6058494364546405
28062,A,PN96_RS12535,1,0.02502626871647456,0.29824771385021015
12536,A,PN96_RS13620,1,0.06561518883710465,1.6145818192390324
18181,A,PN96_RS10730,1,0.16693779524091296,1.0148298840758285
